package	files	bytes	listSha256	contentSha256
codemods	51	227043	8237120e9a5ea724ab4d48cad0c79faef4efc6bfbf5f14ee726e246a8329b2f0	0e964fe9d63165561a612082b98ac49252941b9cf9dd3ff274354bf2b5780028
compat	38	47041	df9307827eee4ea7d023f96fcc02ae4042e3ec23d2d3247d137d4e2313e473c5	20a6ac9d1c8a090ef206c26f4c10a46e2cce8c6675ba611109fa2a2aef999cf7
contracts	45	180075	6eac756b6900d69f729a89aca527a94a51f4eb8efa5a80d92a6bb6bf00e11e2f	38dc322d91856048eaf5af6549b12c2c3d0efe2125eee1bc733c9542f967dd56
core	1450	3278295	ba5384df2e9bf71dd5d48bac2711177a82727bc5b4788127dccd3dcd88f27c45	e24cd9d03c3e4966edecbe8ffc5a6cf410b93eb139291ad2c2cc7e0ad2e0d051
mcp	12	119546	8f295e805f407d6c4de8d209b63c47ea921b53cbf766971867f3a25b3f7cc094	4687e4a17275eb9c34f762e6ad3302615b7d16edaed310c58763522b1c0fb65c
nuxt	3	16683	b5a833c6fb3b584d1ea3826d717e23bb3925f6af96fce6cf019463b0bb81e751	6d4693cf763da0806b92cf7a9d0343d4dbcc6f0103bae12d3c960813fafae85e
testing	21	162278	81743b38e175f5601beaac14b083d97b24facd3fa1ccccf2748485f0425aa071	9ccc5e233e7a3deb1cd4a7d2d885d06ad9666703ca3d53063e490e2cdacc610b
tokens	13	448814	2dc9b1ece6c57965083299cc56254b7e0cde7474dfbf1d22dfae4ae9076f49b1	94217ea5ae84311403fdb18d24d39be8f6309f8ea85b736b19cd526e2ab7dfb7
tooling	0	0	-	- (no dist)
